番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0135,サンダース,Jolteon,Blitza,Voltali,쥬피썬더,雷伊布,雷伊布
0136,ブースター,Flareon,Flamara,Pyroli,부스터,火伊布,火伊布
0137,ポリゴン,Porygon,Porygon,Porygon,폴리곤,多边兽,多邊獸
0138,オムナイト,Omanyte,Amonitas,Amonita,암나이트,菊石兽,菊石獸
0139,オムスター,Omastar,Amoroso,Amonistar,암스타,多刺菊石兽,多刺菊石獸
0140,カブト,Kabuto,Kabuto,Kabuto,투구,化石盔,化石盔
0141,カブトプス,Kabutops,Kabutops,Kabutops,투구푸스,镰刀盔,鐮刀盔
0142,プテラ,Aerodactyl,Aerodactyl,Ptéra,프테라,化石翼龙,化石翼龍
0143,カビゴン,Snorlax,Relaxo,Ronflex,잠만보,卡比兽,卡比獸
0144,フリーザー,Articuno,Arktos,Artikodin,프리져,急冻鸟,急凍鳥
0145,サンダー,Zapdos,Zapdos,Électhor,썬더,闪电鸟,閃電鳥
0146,ファイヤー,Moltres,Lavados,Sulfura,파이어,火焰鸟,火焰鳥
0147,ミニリュウ,Dratini,Dratini,Minidraco,미뇽,迷你龙,迷你龍
0148,ハクリュー,Dragonair,Dragonir,Draco,신뇽,哈克龙,哈克龍
0149,カイリュー,Dragonite,Dragoran,Dracolosse,망나뇽,快龙,快龍
0150,ミュウツー,Mewtwo,Mewtu,Mewtwo,뮤츠,超梦,超夢
0151,ミュウ,Mew,Mew,Mew,뮤,梦幻,夢幻
