番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0285,キノココ,Shroomish,Knilz,Balignon,버섯꼬,蘑蘑菇,蘑蘑菇
0286,キノガッサ,Breloom,Kapilz,Chapignon,버섯모,斗笠菇,斗笠菇
0287,ナマケロ,Slakoth,Bummelz,Parecool,게을로,懒人獭,懶人獺
0288,ヤルキモノ,Vigoroth,Muntier,Vigoroth,발바로,过动猿,過動猿
0289,ケッキング,Slaking,Letarking,Monaflèmit,게을킹,请假王,請假王
0290,ツチニン,Nincada,Nincada,Ningale,토중몬,土居忍士,土居忍士
0291,テッカニン,Ninjask,Ninjask,Ninjask,아이스크,铁面忍者,鐵面忍者
0292,ヌケニン,Shedinja,Ninjatom,Munja,껍질몬,脱壳忍者,脫殼忍者
0293,ゴニョニョ,Whismur,Flurmel,Chuchmur,소곤룡,咕妞妞,咕妞妞
0294,ドゴーム,Loudred,Krakeelo,Ramboum,노공룡,吼爆弹,吼爆彈
0295,バクオング,Exploud,Krawumms,Brouhabam,폭음룡,爆音怪,爆音怪
0296,マクノシタ,Makuhita,Makuhita,Makuhita,마크탕,幕下力士,幕下力士
0297,ハリテヤマ,Hariyama,Hariyama,Hariyama,하리뭉,铁掌力士,鐵掌力士
0298,ルリリ,Azurill,Azurill,Azurill,루리리,露力丽,露力麗
0299,ノズパス,Nosepass,Nasgnet,Tarinor,코코파스,朝北鼻,朝北鼻
0300,エネコ,Skitty,Eneco,Skitty,에나비,向尾喵,向尾喵
0301,エネコロロ,Delcatty,Enekoro,Delcatty,델케티,优雅猫,優雅貓
0302,ヤミラミ,Sableye,Zobiris,Ténéfix,깜까미,勾魂眼,勾魂眼
0303,クチート,Mawile,Flunkifer,Mysdibule,입치트,大嘴娃,大嘴娃
0304,ココドラ,Aron,Stollunior,Galekid,가보리,可可多拉,可可多拉
0305,コドラ,Lairon,Stollrak,Galegon,갱도라,可多拉,可多拉
0306,ボスゴドラ,Aggron,Stolloss,Galeking,보스로라,波士可多拉,波士可多拉
0307,アサナン,Meditite,Meditie,Méditikka,요가랑,玛沙那,瑪沙那
0308,チャーレム,Medicham,Meditalis,Charmina,요가램,恰雷姆,恰雷姆
0309,ラクライ,Electrike,Frizelbliz,Dynavolt,썬더라이,落雷兽,落雷獸
0310,ライボルト,Manectric,Voltenso,Élecsprint,썬더볼트,雷电兽,雷電獸
0311,プラスル,Plusle,Plusle,Posipi,플러시,正电拍拍,正電拍拍
0312,マイナン,Minun,Minun,Négapi,마이농,负电拍拍,負電拍拍
0313,バルビート,Volbeat,Volbeat,Muciole,볼비트,电萤虫,電螢蟲
0314,イルミーゼ,Illumise,Illumise,Lumivole,네오비트,甜甜萤,甜甜螢
0315,ロゼリア,Roselia,Roselia,Rosélia,로젤리아,毒蔷薇,毒薔薇
0316,ゴクリン,Gulpin,Schluppuck,Gloupti,꼴깍몬,溶食兽,溶食獸
0317,マルノーム,Swalot,Schlukwech,Avaltout,꿀꺽몬,吞食兽,吞食獸
0318,キバニア,Carvanha,Kanivanha,Carvanha,샤프니아,利牙鱼,利牙魚
0319,サメハダー,Sharpedo,Tohaido,Sharpedo,샤크니아,巨牙鲨,巨牙鯊
0320,ホエルコ,Wailmer,Wailmer,Wailmer,고래왕자,吼吼鲸,吼吼鯨
0321,ホエルオー,Wailord,Wailord,Wailord,고래왕,吼鲸王,吼鯨王
0322,ドンメル,Numel,Camaub,Chamallot,둔타,呆火驼,呆火駝
0323,バクーダ,Camerupt,Camerupt,Camérupt,폭타,喷火驼,噴火駝
0324,コータス,Torkoal,Qurtel,Chartor,코터스,煤炭龟,煤炭龜
0325,バネブー,Spoink,Spoink,Spoink,피그점프,跳跳猪,跳跳豬
0326,ブーピッグ,Grumpig,Groink,Groret,피그킹,噗噗猪,噗噗豬
0327,パッチール,Spinda,Pandir,Spinda,얼루기,晃晃斑,晃晃斑
0328,ナックラー,Trapinch,Knacklion,Kraknoix,톱치,大颚蚁,大顎蟻
0329,ビブラーバ,Vibrava,Vibrava,Vibraninf,비브라바,超音波幼虫,超音波幼蟲
0330,フライゴン,Flygon,Libelldra,Libégon,플라이곤,沙漠蜻蜓,沙漠蜻蜓
0331,サボネア,Cacnea,Tuska,Cacnea,선인왕,刺球仙人掌,刺球仙人掌
0332,ノクタス,Cacturne,Noktuska,Cacturne,밤선인,梦歌仙人掌,夢歌仙人掌
0333,チルット,Swablu,Wablu,Tylton,파비코,青绵鸟,青綿鳥
0334,チルタリス,Altaria,Altaria,Altaria,파비코리,七夕青鸟,七夕青鳥
0335,ザングース,Zangoose,Sengo,Mangriff,쟝고,猫鼬斩,貓鼬斬
0336,ハブネーク,Seviper,Vipitis,Séviper,세비퍼,饭匙蛇,飯匙蛇
0337,ルナトーン,Lunatone,Lunastein,Séléroc,루나톤,月石,月石
0338,ソルロック,Solrock,Sonnfel,Solaroc,솔록,太阳岩,太陽岩
0339,ドジョッチ,Barboach,Schmerbe,Barloche,미꾸리,泥泥鳅,泥泥鰍
0340,ナマズン,Whiscash,Welsar,Barbicha,메깅,鲶鱼王,鯰魚王
0341,ヘイガニ,Corphish,Krebscorps,Écrapince,가재군,龙虾小兵,龍蝦小兵
0342,シザリガー,Crawdaunt,Krebutack,Colhomard,가재장군,铁螯龙虾,鐵螯龍蝦
0343,ヤジロン,Baltoy,Puppance,Balbuto,오뚝군,天秤偶,天秤偶
0344,ネンドール,Claydol,Lepumentas,Kaorine,점토도리,念力土偶,念力土偶
0345,リリーラ,Lileep,Liliep,Lilia,릴링,触手百合,觸手百合
0346,ユレイドル,Cradily,Wielie,Vacilys,릴리요,摇篮百合,搖籃百合
0347,アノプス,Anorith,Anorith,Anorith,아노딥스,太古羽虫,太古羽蟲
0348,アーマルド,Armaldo,Armaldo,Armaldo,아말도,太古盔甲,太古盔甲
0349,ヒンバス,Feebas,Barschwa,Barpau,빈티나,丑丑鱼,醜醜魚
0350,ミロカロス,Milotic,Milotic,Milobellus,밀로틱,美纳斯,美納斯
0351,ポワルン,Castform,Formeo,Morphéo,캐스퐁,飘浮泡泡,飄浮泡泡
0352,カクレオン,Kecleon,Kecleon,Kecleon,켈리몬,变隐龙,變隱龍
0353,カゲボウズ,Shuppet,Shuppet,Polichombr,어둠대신,怨影娃娃,怨影娃娃
0354,ジュペッタ,Banette,Banette,Branette,다크펫,诅咒娃娃,詛咒娃娃
0355,ヨマワル,Duskull,Zwirrlicht,Skelénox,해골몽,夜巡灵,夜巡靈
0356,サマヨール,Dusclops,Zwirrklop,Téraclope,미라몽,彷徨夜灵,彷徨夜靈
0357,トロピウス,Tropius,Tropius,Tropius,트로피우스,热带龙,熱帶龍
0358,チリーン,Chimecho,Palimpalim,Éoko,치렁,风铃铃,風鈴鈴
0359,アブソル,Absol,Absol,Absol,앱솔,阿勃梭鲁,阿勃梭魯
0360,ソーナノ,Wynaut,Isso,Okéoké,마자,小果然,小果然
0361,ユキワラシ,Snorunt,Schneppke,Stalgamin,눈꼬마,雪童子,雪童子
0362,オニゴーリ,Glalie,Firnontor,Oniglali,얼음귀신,冰鬼护,冰鬼護
0363,タマザラシ,Spheal,Seemops,Obalie,대굴레오,海豹球,海豹球
0364,トドグラー,Sealeo,Seejong,Phogleur,씨레오,海魔狮,海魔獅
0365,トドゼルガ,Walrein,Walraisa,Kaimorse,씨카이저,帝牙海狮,帝牙海獅
0366,パールル,Clamperl,Perlu,Coquiperl,진주몽,珍珠贝,珍珠貝
0367,ハンテール,Huntail,Aalabyss,Serpang,헌테일,猎斑鱼,獵斑魚
0368,サクラビス,Gorebyss,Saganabyss,Rosabyss,분홍장이,樱花鱼,櫻花魚
0369,ジーランス,Relicanth,Relicanth,Relicanth,시라칸,古空棘鱼,古空棘魚
0370,ラブカス,Luvdisc,Liebiskus,Lovdisc,사랑동이,爱心鱼,愛心魚
0371,タツベイ,Bagon,Kindwurm,Draby,아공이,宝贝龙,寶貝龍
0372,コモルー,Shelgon,Draschel,Drackhaus,쉘곤,甲壳龙,甲殼龍
0373,ボーマンダ,Salamence,Brutalanda,Drattak,보만다,暴飞龙,暴飛龍
0374,ダンバル,Beldum,Tanhel,Terhal,메탕,铁哑铃,鐵啞鈴
0375,メタング,Metang,Metang,Métang,메탕구,金属怪,金屬怪
0376,メタグロス,Metagross,Metagross,Métalosse,메타그로스,巨金怪,巨金怪
0377,レジロック,Regirock,Regirock,Regirock,레지락,雷吉洛克,雷吉洛克
0378,レジアイス,Regice,Regice,Regice,레지아이스,雷吉艾斯,雷吉艾斯
0379,レジスチル,Registeel,Registeel,Registeel,레지스틸,雷吉斯奇鲁,雷吉斯奇魯
0380,ラティアス,Latias,Latias,Latias,라티아스,拉帝亚斯,拉帝亞斯
0381,ラティオス,Latios,Latios,Latios,라티오스,拉帝欧斯,拉帝歐斯
0382,カイオーガ,Kyogre,Kyogre,Kyogre,가이오가,盖欧卡,蓋歐卡
0383,グラードン,Groudon,Groudon,Groudon,그란돈,固拉多,固拉多
0384,レックウザ,Rayquaza,Rayquaza,Rayquaza,레쿠쟈,烈空坐,烈空坐
0385,ジラーチ,Jirachi,Jirachi,Jirachi,지라치,基拉祈,基拉祈
0386,デオキシス,Deoxys,Deoxys,Deoxys,테오키스,代欧奇希斯,代歐奇希斯
