番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0850,ヤクデ,Sizzlipede,Thermopod,Grillepattes,태우지네,烧火蚣,燒火蚣
0851,マルヤクデ,Centiskorch,Infernopod,Scolocendre,다태우지네,焚焰蚣,焚焰蚣
0852,タタッコ,Clobbopus,Klopptopus,Poulpaf,때때무노,拳拳蛸,拳拳蛸
0853,オトスパス,Grapploct,Kaocto,Krakos,케오퍼스,八爪武师,八爪武師
0854,ヤバチャ,Sinistea,Fatalitee,Théffroi,데인차,来悲茶,來悲茶
0855,ポットデス,Polteageist,Mortipot,Polthégeist,포트데스,怖思壶,怖思壺
0856,ミブリム,Hatenna,Brimova,Bibichut,몸지브림,迷布莉姆,迷布莉姆
0857,テブリム,Hattrem,Brimano,Chapotus,손지브림,提布莉姆,提布莉姆
0858,ブリムオン,Hatterene,Silembrim,Sorcilence,브리무음,布莉姆温,布莉姆溫
0859,ベロバー,Impidimp,Bähmon,Grimalin,메롱꿍,捣蛋小妖,搗蛋小妖
0860,ギモー,Morgrem,Pelzebub,Fourbelin,쏘겨모,诈唬魔,詐唬魔
0861,オーロンゲ,Grimmsnarl,Olangaar,Angoliath,오롱털,长毛巨魔,長毛巨魔
0862,タチフサグマ,Obstagoon,Barrikadax,Ixon,가로막구리,堵拦熊,堵攔熊
0863,ニャイキング,Perrserker,Mauzinger,Berserkatt,나이킹,喵头目,喵頭目
0864,サニゴーン,Cursola,Gorgasonn,Corayôme,산호르곤,魔灵珊瑚,魔靈珊瑚
0865,ネギガナイト,Sirfetch'd,Lauchzelot,Palarticho,창파나이트,葱游兵,蔥遊兵
0866,バリコオル,Mr. Rime,Pantifrost,M. Glaquette,마임꽁꽁,踏冰人偶,踏冰人偶
0867,デスバーン,Runerigus,Oghnatoll,Tutétékri,데스판,迭失板,死神板
0868,マホミル,Milcery,Hokumil,Crèmy,마빌크,小仙奶,小仙奶
0869,マホイップ,Alcremie,Pokusan,Charmilly,마휘핑,霜奶仙,霜奶仙
0870,タイレーツ,Falinks,Legios,Hexadron,대여르,列阵兵,列陣兵
0871,バチンウニ,Pincurchin,Britzigel,Wattapik,찌르성게,啪嚓海胆,啪嚓海膽
0872,ユキハミ,Snom,Snomnom,Frissonille,누니머기,雪吞虫,雪吞蟲
0873,モスノウ,Frosmoth,Mottineva,Beldeneige,모스노우,雪绒蛾,雪絨蛾
0874,イシヘンジン,Stonjourner,Humanolith,Dolman,돌헨진,巨石丁,巨石丁
0875,コオリッポ,Eiscue,Kubuin,Bekaglaçon,빙큐보,冰砌鹅,冰砌鵝
0876,イエッサン,Indeedee,Servol,Wimessir,에써르,爱管侍,愛管侍
0877,モルペコ,Morpeko,Morpeko,Morpeko,모르페코,莫鲁贝可,莫魯貝可
0878,ゾウドウ,Cufant,Kupfanti,Charibari,끼리동,铜象,銅象
0879,ダイオウドウ,Copperajah,Patinaraja,Pachyradjah,대왕끼리동,大王铜象,大王銅象
0880,パッチラゴン,Dracozolt,Lectragon,Galvagon,파치래곤,雷鸟龙,雷鳥龍
0881,パッチルドン,Arctozolt,Lecryodon,Galvagla,파치르돈,雷鸟海兽,雷鳥海獸
0882,ウオノラゴン,Dracovish,Pescragon,Hydragon,어래곤,鳃鱼龙,鰓魚龍
0883,ウオチルドン,Arctovish,Pescryodon,Hydragla,어치르돈,鳃鱼海兽,鰓魚海獸
0884,ジュラルドン,Duraludon,Duraludon,Duralugon,두랄루돈,铝钢龙,鋁鋼龍
0885,ドラメシヤ,Dreepy,Grolldra,Fantyrm,드라꼰,多龙梅西亚,多龍梅西亞
0886,ドロンチ,Drakloak,Phandra,Dispareptil,드래런치,多龙奇,多龍奇
0887,ドラパルト,Dragapult,Katapuldra,Lanssorien,드래펄트,多龙巴鲁托,多龍巴魯托
0888,ザシアン,Zacian,Zacian,Zacian,자시안,苍响,蒼響
0889,ザマゼンタ,Zamazenta,Zamazenta,Zamazenta,자마젠타,藏玛然特,藏瑪然特
0890,ムゲンダイナ,Eternatus,Endynalos,Éthernatos,무한다이노,无极汰那,無極汰那
0891,ダクマ,Kubfu,Dakuma,Wushours,치고마,熊徒弟,熊徒弟
0892,ウーラオス,Urshifu,Wulaosu,Shifours,우라오스,武道熊师,武道熊師
0893,ザルード,Zarude,Zarude,Zarude,자루도,萨戮德,薩戮德
0894,レジエレキ,Regieleki,Regieleki,Regieleki,레지에레키,雷吉艾勒奇,雷吉艾勒奇
0895,レジドラゴ,Regidrago,Regidrago,Regidrago,레지드래고,雷吉铎拉戈,雷吉鐸拉戈
0896,ブリザポス,Glastrier,Polaross,Blizzeval,블리자포스,雪暴马,雪暴馬
0897,レイスポス,Spectrier,Phantoross,Spectreval,레이스포스,灵幽马,靈幽馬
0898,バドレックス,Calyrex,Coronospa,Sylveroy,버드렉스,蕾冠王,蕾冠王
0899,アヤシシ,Wyrdeer,Damythir,Cerbyllin,신비록,诡角鹿,詭角鹿
0900,バサギリ,Kleavor,Axantor,Hachécateur,사마자르,劈斧螳螂,劈斧螳螂
0901,ガチグマ,Ursaluna,Ursaluna,Ursaking,다투곰,月月熊,月月熊
0902,イダイトウ,Basculegion,Salmagnis,Paragruel,대쓰여너,幽尾玄鱼,幽尾玄魚
0903,オオニューラ,Sneasler,Snieboss,Farfurex,포푸니크,大狃拉,大狃拉
0904,ハリーマン,Overqwil,Myriador,Qwilpik,장침바루,万针鱼,萬針魚
0905,ラブトロス,Enamorus,Cupidos,Amovénus,러브로스,眷恋云,眷戀雲
