番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0767,コソクムシ,Wimpod,Reißlaus,Sovkipou,꼬시레,胆小虫,膽小蟲
0768,グソクムシャ,Golisopod,Tectass,Sarmuraï,갑주무사,具甲武者,具甲武者
0769,スナバァ,Sandygast,Sankabuh,Bacabouh,모래꿍,沙丘娃,沙丘娃
0770,シロデスナ,Palossand,Colossand,Trépassable,모래성이당,噬沙堡爷,噬沙堡爺
0771,ナマコブシ,Pyukumuku,Gufa,Concombaffe,해무기,拳海参,拳海參
0772,タイプ:ヌル,Type: Null (英語)Tipo Zero (イタリア語)Código Cero (スペイン語),Typ:Null,Type:0,타입:널,属性：空,屬性：空
0773,シルヴァディ,Silvally,Amigento,Silvallié,실버디,银伴战兽,銀伴戰獸
0774,メテノ,Minior,Meteno,Météno,메테노,小陨星,小隕星
0775,ネッコアラ,Komala,Koalelu,Dodoala,자말라,树枕尾熊,樹枕尾熊
0776,バクガメス,Turtonator,Tortunator,Boumata,폭거북스,爆焰龟兽,爆焰龜獸
0777,トゲデマル,Togedemaru,Togedemaru,Togedemaru,토게데마루,托戈德玛尔,托戈德瑪爾
0778,ミミッキュ,Mimikyu,Mimigma,Mimiqui,따라큐,谜拟丘,謎擬Ｑ
0779,ハギギシリ,Bruxish,Knirfish,Denticrisse,치갈기,磨牙彩皮鱼,磨牙彩皮魚
0780,ジジーロン,Drampa,Sen-Long,Draïeul,할비롱,老翁龙,老翁龍
0781,ダダリン,Dhelmise,Moruda,Sinistrail,타타륜,破破舵轮,破破舵輪
0782,ジャラコ,Jangmo-o,Miniras,Bébécaille,짜랑꼬,心鳞宝,心鱗寶
0783,ジャランゴ,Hakamo-o,Mediras,Écaïd,짜랑고우,鳞甲龙,鱗甲龍
0784,ジャラランガ,Kommo-o,Grandiras,Ékaïser,짜랑고우거,杖尾鳞甲龙,杖尾鱗甲龍
0785,カプ・コケコ,Tapu Koko,Kapu-Riki,Tokorico,카푸꼬꼬꼭,卡璞・鸣鸣,卡璞・鳴鳴
0786,カプ・テテフ,Tapu Lele,Kapu-Fala,Tokopiyon,카푸나비나,卡璞・蝶蝶,卡璞・蝶蝶
0787,カプ・ブルル,Tapu Bulu,Kapu-Toro,Tokotoro,카푸브루루,卡璞・哞哞,卡璞・哞哞
0788,カプ・レヒレ,Tapu Fini,Kapu-Kime,Tokopisco,카푸느지느,卡璞・鳍鳍,卡璞・鰭鰭
0789,コスモッグ,Cosmog,Cosmog,Cosmog,코스모그,科斯莫古,科斯莫古
0790,コスモウム,Cosmoem,Cosmovum,Cosmovum,코스모움,科斯莫姆,科斯莫姆
0791,ソルガレオ,Solgaleo,Solgaleo,Solgaleo,솔가레오,索尔迦雷欧,索爾迦雷歐
0792,ルナアーラ,Lunala,Lunala,Lunala,루나아라,露奈雅拉,露奈雅拉
0793,ウツロイド,Nihilego,Anego,Zéroïd,텅비드,虚吾伊德,虛吾伊德
0794,マッシブーン,Buzzwole,Masskito,Mouscoto,매시붕,爆肌蚊,爆肌蚊
0795,フェローチェ,Pheromosa,Schabelle,Cancrelove,페로코체,费洛美螂,費洛美螂
0796,デンジュモク,Xurkitree,Voltriant,Câblifère,전수목,电束木,電束木
0797,テッカグヤ,Celesteela,Kaguron,Bamboiselle,철화구야,铁火辉夜,鐵火輝夜
0798,カミツルギ,Kartana,Katagami,Katagami,종이신도,纸御剑,紙御劍
0799,アクジキング,Guzzlord,Schlingking,Engloutyran,악식킹,恶食大王,惡食大王
0800,ネクロズマ,Necrozma,Necrozma,Necrozma,네크로즈마,奈克洛兹玛,奈克洛茲瑪
0801,マギアナ,Magearna,Magearna,Magearna,마기아나,玛机雅娜,瑪機雅娜
0802,マーシャドー,Marshadow,Marshadow,Marshadow,마샤도,玛夏多,瑪夏多
0803,ベベノム,Poipole,Venicro,Vémini,베베놈,毒贝比,毒貝比
0804,アーゴヨン,Naganadel,Agoyon,Mandrillon,아고용,四颚针龙,四顎針龍
0805,ツンデツンデ,Stakataka,Muramura,Ama-Ama,차곡차곡,垒磊石,壘磊石
0806,ズガドーン,Blacephalon,Kopplosio,Pierroteknik,두파팡,砰头小丑,砰頭小丑
0807,ゼラオラ,Zeraora,Zeraora,Zeraora,제라오라,捷拉奥拉,捷拉奧拉
0808,メルタン,Meltan,Meltan,Meltan,멜탄,美录坦,美錄坦
0809,メルメタル,Melmetal,Melmetal,Melmetal,멜메탈,美录梅塔,美錄梅塔
