番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0577,ユニラン,Solosis,Monozyto,Nucléos,유니란,单卵细胞球,單卵細胞球
0578,ダブラン,Duosion,Mitodos,Méios,듀란,双卵细胞球,雙卵細胞球
0579,ランクルス,Reuniclus,Zytomega,Symbios,란쿨루스,人造细胞卵,人造細胞卵
0580,コアルヒー,Ducklett,Piccolente,Couaneton,꼬지보리,鸭宝宝,鴨寶寶
0581,スワンナ,Swanna,Swaroness,Lakmécygne,스완나,舞天鹅,舞天鵝
0582,バニプッチ,Vanillite,Gelatini,Sorbébé,바닐프티,迷你冰,迷你冰
0583,バニリッチ,Vanillish,Gelatroppo,Sorboul,바닐리치,多多冰,多多冰
0584,バイバニラ,Vanilluxe,Gelatwino,Sorbouboul,배바닐라,双倍多多冰,雙倍多多冰
0585,シキジカ,Deerling,Sesokitz,Vivaldaim,사철록,四季鹿,四季鹿
0586,メブキジカ,Sawsbuck,Kronjuwild,Haydaim,바라철록,萌芽鹿,萌芽鹿
0587,エモンガ,Emolga,Emolga,Emolga,에몽가,电飞鼠,電飛鼠
0588,カブルモ,Karrablast,Laukaps,Carabing,딱정곤,盖盖虫,蓋蓋蟲
0589,シュバルゴ,Escavalier,Cavalanzas,Lançargot,슈바르고,骑士蜗牛,騎士蝸牛
0590,タマゲタケ,Foongus,Tarnpignon,Trompignon,깜놀버슬,哎呀球菇,哎呀球菇
0591,モロバレル,Amoonguss,Hutsassa,Gaulet,뽀록나,败露球菇,敗露球菇
0592,プルリル,Frillish,Quabbel,Viskuse,탱그릴,轻飘飘,輕飄飄
0593,ブルンゲル,Jellicent,Apoquallyp,Moyade,탱탱겔,胖嘟嘟,胖嘟嘟
0594,ママンボウ,Alomomola,Mamolida,Mamanbo,맘복치,保姆曼波,保母曼波
0595,バチュル,Joltik,Wattzapf,Statitik,피쪼옥,电电虫,電電蟲
0596,デンチュラ,Galvantula,Voltula,Mygavolt,전툴라,电蜘蛛,電蜘蛛
0597,テッシード,Ferroseed,Kastadur,Grindur,철시드,种子铁球,種子鐵球
0598,ナットレイ,Ferrothorn,Tentantel,Noacier,너트령,坚果哑铃,堅果啞鈴
0599,ギアル,Klink,Klikk,Tic,기어르,齿轮儿,齒輪兒
0600,ギギアル,Klang,Kliklak,Clic,기기어르,齿轮组,齒輪組
0601,ギギギアル,Klinklang,Klikdiklak,Cliticlic,기기기어르,齿轮怪,齒輪怪
0602,シビシラス,Tynamo,Zapplardin,Anchwatt,저리어,麻麻小鱼,麻麻小魚
0603,シビビール,Eelektrik,Zapplalek,Lampéroie,저리릴,麻麻鳗,麻麻鰻
0604,シビルドン,Eelektross,Zapplarang,Ohmassacre,저리더프,麻麻鳗鱼王,麻麻鰻魚王
0605,リグレー,Elgyem,Pygraulon,Lewsor,리그레,小灰怪,小灰怪
0606,オーベム,Beheeyem,Megalon,Neitram,벰크,大宇怪,大宇怪
0607,ヒトモシ,Litwick,Lichtel,Funécire,불켜미,烛光灵,燭光靈
0608,ランプラー,Lampent,Laternecto,Mélancolux,램프라,灯火幽灵,燈火幽靈
0609,シャンデラ,Chandelure,Skelabra,Lugulabre,샹델라,水晶灯火灵,水晶燈火靈
0610,キバゴ,Axew,Milza,Coupenotte,터검니,牙牙,牙牙
0611,オノンド,Fraxure,Sharfax,Incisache,액슨도,斧牙龙,斧牙龍
0612,オノノクス,Haxorus,Maxax,Tranchodon,액스라이즈,双斧战龙,雙斧戰龍
0613,クマシュン,Cubchoo,Petznief,Polarhume,코고미,喷嚏熊,噴嚏熊
0614,ツンベアー,Beartic,Siberio,Polagriffe,툰베어,冻原熊,凍原熊
0615,フリージオ,Cryogonal,Frigometri,Hexagel,프리지오,几何雪花,幾何雪花
0616,チョボマキ,Shelmet,Schnuthelm,Escargaume,쪼마리,小嘴蜗,小嘴蝸
0617,アギルダー,Accelgor,Hydragil,Limaspeed,어지리더,敏捷虫,敏捷蟲
0618,マッギョ,Stunfisk,Flunschlik,Limonde,메더,泥巴鱼,泥巴魚
0619,コジョフー,Mienfoo,Lin-Fu,Kungfouine,비조푸,功夫鼬,功夫鼬
0620,コジョンド,Mienshao,Wie-Shu,Shaofouine,비조도,师父鼬,師父鼬
0621,クリムガン,Druddigon,Shardrago,Drakkarmin,크리만,赤面龙,赤面龍
0622,ゴビット,Golett,Golbit,Gringolem,골비람,泥偶小人,泥偶小人
0623,ゴルーグ,Golurk,Golgantes,Golemastoc,골루그,泥偶巨人,泥偶巨人
0624,コマタナ,Pawniard,Gladiantri,Scalpion,자망칼,驹刀小兵,駒刀小兵
0625,キリキザン,Bisharp,Caesurio,Scalproie,절각참,劈斩司令,劈斬司令
0626,バッフロン,Bouffalant,Bisofank,Frison,버프론,爆炸头水牛,爆炸頭水牛
0627,ワシボン,Rufflet,Geronimatz,Furaiglon,수리둥보,毛头小鹰,毛頭小鷹
0628,ウォーグル,Braviary,Washakwil,Gueriaigle,워글,勇士雄鹰,勇士雄鷹
0629,バルチャイ,Vullaby,Skallyk,Vostourno,벌차이,秃鹰丫头,禿鷹丫頭
0630,バルジーナ,Mandibuzz,Grypheldis,Vaututrice,버랜지나,秃鹰娜,禿鷹娜
0631,クイタラン,Heatmor,Furnifraß,Aflamanoir,앤티골,熔蚁兽,熔蟻獸
0632,アイアント,Durant,Fermicula,Fermite,아이앤트,铁蚁,鐵蟻
0633,モノズ,Deino,Kapuno,Solochi,모노두,单首龙,單首龍
0634,ジヘッド,Zweilous,Duodino,Diamat,디헤드,双首暴龙,雙首暴龍
0635,サザンドラ,Hydreigon,Trikephalo,Trioxhydre,삼삼드래,三首恶龙,三首惡龍
0636,メラルバ,Larvesta,Ignivor,Pyronille,활화르바,燃烧虫,燃燒蟲
0637,ウルガモス,Volcarona,Ramoth,Pyrax,불카모스,火神蛾,火神蛾
0638,コバルオン,Cobalion,Kobalium,Cobaltium,코바르온,勾帕路翁,勾帕路翁
0639,テラキオン,Terrakion,Terrakium,Terrakium,테라키온,代拉基翁,代拉基翁
0640,ビリジオン,Virizion,Viridium,Viridium,비리디온,毕力吉翁,畢力吉翁
0641,トルネロス,Tornadus,Boreos,Boréas,토네로스,龙卷云,龍捲雲
0642,ボルトロス,Thundurus,Voltolos,Fulguris,볼트로스,雷电云,雷電雲
0643,レシラム,Reshiram,Reshiram,Reshiram,레시라무,莱希拉姆,萊希拉姆
0644,ゼクロム,Zekrom,Zekrom,Zekrom,제크로무,捷克罗姆,捷克羅姆
0645,ランドロス,Landorus,Demeteros,Démétéros,랜드로스,土地云,土地雲
0646,キュレム,Kyurem,Kyurem,Kyurem,큐레무,酋雷姆,酋雷姆
0647,ケルディオ,Keldeo,Keldeo,Keldeo,케르디오,凯路迪欧,凱路迪歐
0648,メロエッタ,Meloetta,Meloetta,Meloetta,메로엣타,美洛耶塔,美洛耶塔
0649,ゲノセクト,Genesect,Genesect,Genesect,게노세크트,盖诺赛克特,蓋諾賽克特
