番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0179,メリープ,Mareep,Voltilamm,Wattouat,메리프,咩利羊,咩利羊
0180,モココ,Flaaffy,Waaty,Lainergie,보송송,茸茸羊,茸茸羊
0181,デンリュウ,Ampharos,Ampharos,Pharamp,전룡,电龙,電龍
0182,キレイハナ,Bellossom,Blubella,Joliflor,아르코,美丽花,美麗花
0183,マリル,Marill,Marill,Marill,마릴,玛力露,瑪力露
0184,マリルリ,Azumarill,Azumarill,Azumarill,마릴리,玛力露丽,瑪力露麗
0185,ウソッキー,Sudowoodo,Mogelbaum,Simularbre,꼬지모,树才怪,樹才怪
0186,ニョロトノ,Politoed,Quaxo,Tarpaud,왕구리,蚊香蛙皇,蚊香蛙皇
0187,ハネッコ,Hoppip,Hoppspross,Granivol,통통코,毽子草,毽子草
0188,ポポッコ,Skiploom,Hubelupf,Floravol,두코,毽子花,毽子花
0189,ワタッコ,Jumpluff,Papungha,Cotovol,솜솜코,毽子棉,毽子棉
0190,エイパム,Aipom,Griffel,Capumain,에이팜,长尾怪手,長尾怪手
0191,ヒマナッツ,Sunkern,Sonnkern,Tournegrin,해너츠,向日种子,向日種子
0192,キマワリ,Sunflora,Sonnflora,Héliatronc,해루미,向日花怪,向日花怪
0193,ヤンヤンマ,Yanma,Yanma,Yanma,왕자리,蜻蜻蜓,蜻蜻蜓
0194,ウパー,Wooper,Felino,Axoloto,우파,乌波,烏波
0195,ヌオー,Quagsire,Morlord,Maraiste,누오,沼王,沼王
0196,エーフィ,Espeon,Psiana,Mentali,에브이,太阳伊布,太陽伊布
0197,ブラッキー,Umbreon,Nachtara,Noctali,블래키,月亮伊布,月亮伊布
0198,ヤミカラス,Murkrow,Kramurx,Cornèbre,니로우,黑暗鸦,黑暗鴉
0199,ヤドキング,Slowking,Laschoking,Roigada,야도킹,呆呆王,呆呆王
0200,ムウマ,Misdreavus,Traunfugil,Feuforêve,무우마,梦妖,夢妖
0201,アンノーン,Unown,Icognito,Zarbi,안농,未知图腾,未知圖騰
0202,ソーナンス,Wobbuffet,Woingenau,Qulbutoké,마자용,果然翁,果然翁
0203,キリンリキ,Girafarig,Girafarig,Girafarig,키링키,麒麟奇,麒麟奇
0204,クヌギダマ,Pineco,Tannza,Pomdepik,피콘,榛果球,榛果球
0205,フォレトス,Forretress,Forstellka,Foretress,쏘콘,佛烈托斯,佛烈托斯
0206,ノコッチ,Dunsparce,Dummisel,Insolourdo,노고치,土龙弟弟,土龍弟弟
0207,グライガー,Gligar,Skorgla,Scorplane,글라이거,天蝎,天蠍
0208,ハガネール,Steelix,Stahlos,Steelix,강철톤,大钢蛇,大鋼蛇
0209,ブルー,Snubbull,Snubbull,Snubbull,블루,布鲁,布魯
0210,グランブル,Granbull,Granbull,Granbull,그랑블루,布鲁皇,布魯皇
0211,ハリーセン,Qwilfish,Baldorfish,Qwilfish,침바루,千针鱼,千針魚
0212,ハッサム,Scizor,Scherox,Cizayox,핫삼,巨钳螳螂,巨鉗螳螂
0213,ツボツボ,Shuckle,Pottrott,Caratroc,단단지,壶壶,壺壺
0214,ヘラクロス,Heracross,Skaraborn,Scarhino,헤라크로스,赫拉克罗斯,赫拉克羅斯
0215,ニューラ,Sneasel,Sniebel,Farfuret,포푸니,狃拉,狃拉
0216,ヒメグマ,Teddiursa,Teddiursa,Teddiursa,깜지곰,熊宝宝,熊寶寶
0217,リングマ,Ursaring,Ursaring,Ursaring,링곰,圈圈熊,圈圈熊
0218,マグマッグ,Slugma,Schneckmag,Limagma,마그마그,熔岩虫,熔岩蟲
0219,マグカルゴ,Magcargo,Magcargo,Volcaropod,마그카르고,熔岩蜗牛,熔岩蝸牛
0220,ウリムー,Swinub,Quiekel,Marcacrin,꾸꾸리,小山猪,小山豬
0221,イノムー,Piloswine,Keifel,Cochignon,메꾸리,长毛猪,長毛豬
0222,サニーゴ,Corsola,Corasonn,Corayon,코산호,太阳珊瑚,太陽珊瑚
0223,テッポウオ,Remoraid,Remoraid,Rémoraid,총어,铁炮鱼,鐵炮魚
0224,オクタン,Octillery,Octillery,Octillery,대포무노,章鱼桶,章魚桶
0225,デリバード,Delibird,Botogel,Cadoizo,딜리버드,信使鸟,信使鳥
0226,マンタイン,Mantine,Mantax,Démanta,만타인,巨翅飞鱼,巨翅飛魚
0227,エアームド,Skarmory,Panzaeron,Airmure,무장조,盔甲鸟,盔甲鳥
0228,デルビル,Houndour,Hunduster,Malosse,델빌,戴鲁比,戴魯比
0229,ヘルガー,Houndoom,Hundemon,Démolosse,헬가,黑鲁加,黑魯加
0230,キングドラ,Kingdra,Seedraking,Hyporoi,킹드라,刺龙王,刺龍王
0231,ゴマゾウ,Phanpy,Phanpy,Phanpy,코코리,小小象,小小象
0232,ドンファン,Donphan,Donphan,Donphan,코리갑,顿甲,頓甲
0233,ポリゴン2,Porygon2,Porygon2,Porygon2,폴리곤2,多边兽2型,多邊獸II
0234,オドシシ,Stantler,Damhirplex,Cerfrousse,노라키,惊角鹿,驚角鹿
0235,ドーブル,Smeargle,Farbeagle,Queulorior,루브도,图图犬,圖圖犬
0236,バルキー,Tyrogue,Rabauz,Debugant,배루키,无畏小子,無畏小子
0237,カポエラー,Hitmontop,Kapoera,Kapoera,카포에라,战舞郎,戰舞郎
0238,ムチュール,Smoochum,Kussilla,Lippouti,뽀뽀라,迷唇娃,迷唇娃
0239,エレキッド,Elekid,Elekid,Élekid,에레키드,电击怪,電擊怪
0240,ブビィ,Magby,Magby,Magby,마그비,鸭嘴宝宝,鴨嘴寶寶
0241,ミルタンク,Miltank,Miltank,Écrémeuh,밀탱크,大奶罐,大奶罐
0242,ハピナス,Blissey,Heiteira,Leuphorie,해피나스,幸福蛋,幸福蛋
0243,ライコウ,Raikou,Raikou,Raikou,라이코,雷公,雷公
0244,エンテイ,Entei,Entei,Entei,앤테이,炎帝,炎帝
0245,スイクン,Suicune,Suicune,Suicune,스이쿤,水君,水君
0246,ヨーギラス,Larvitar,Larvitar,Embrylex,애버라스,幼基拉斯,幼基拉斯
0247,サナギラス,Pupitar,Pupitar,Ymphect,데기라스,沙基拉斯,沙基拉斯
0248,バンギラス,Tyranitar,Despotar,Tyranocif,마기라스,班基拉斯,班基拉斯
0249,ルギア,Lugia,Lugia,Lugia,루기아,洛奇亚,洛奇亞
0250,ホウオウ,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,凤王,鳳王
0251,セレビィ,Celebi,Celebi,Celebi,세레비,时拉比,時拉比
