番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0944,シルシュルー,Shroodle,Sproxi,Gribouraigne,땃쭈르,滋汁鼹,滋汁鼴
0945,タギングル,Grafaiai,Affiti,Tag-Tag,태깅구르,涂标客,塗標客
0946,アノクサ,Bramblin,Weherba,Virovent,그푸리,纳噬草,納噬草
0947,アノホラグサ,Brambleghast,Horrerba,Virevorreur,공푸리,怖纳噬草,怖納噬草
0948,ノノクラゲ,Toedscool,Tentagra,Terracool,들눈해,原野水母,原野水母
0949,リククラゲ,Toedscruel,Tenterra,Terracruel,육파리,陆地水母,陸地水母
0950,ガケガニ,Klawf,Klibbe,Craparoi,절벼게,毛崖蟹,毛崖蟹
0951,カプサイジ,Capsakid,Chilingel,Pimito,캡싸이,热辣娃,熱辣娃
0952,スコヴィラン,Scovillain,Halupenjo,Scovilain,스코빌런,狠辣椒,狠辣椒
0953,シガロコ,Rellor,Relluk,Léboulérou,구르데,虫滚泥,蟲滾泥
0954,ベラカス,Rabsca,Skarabaks,Bérasca,베라카스,虫甲圣,蟲甲聖
0955,ヒラヒナ,Flittle,Flattutu,Flotillon,하느라기,飘飘雏,飄飄雛
0956,クエスパトラ,Espathra,Psiopatra,Cléopsytra,클레스퍼트라,超能艳鸵,超能豔鴕
0957,カヌチャン,Tinkatink,Forgita,Forgerette,어리짱,小锻匠,小鍛匠
0958,ナカヌチャン,Tinkatuff,Tafforgita,Forgella,벼리짱,巧锻匠,巧鍛匠
0959,デカヌチャン,Tinkaton,Granforgita,Forgelina,두드리짱,巨锻匠,巨鍛匠
0960,ウミディグダ,Wiglett,Schligda,Taupikeau,바다그다,海地鼠,海地鼠
0961,ウミトリオ,Wugtrio,Schligdri,Triopikeau,바닥트리오,三海地鼠,三海地鼠
0962,オトシドリ,Bombirdier,Adebom,Lestombaile,떨구새,下石鸟,下石鳥
0963,ナミイルカ,Finizen,Normifin,Dofin,맨돌핀,波普海豚,波普海豚
0964,イルカマン,Palafin,Delfinator,Superdofin,돌핀맨,海豚侠,海豚俠
0965,ブロロン,Varoom,Knattox,Vrombi,부르롱,噗隆隆,噗隆隆
0966,ブロロローム,Revavroom,Knattatox,Vrombotor,부르르룸,普隆隆姆,普隆隆姆
0967,モトトカゲ,Cyclizar,Mopex,Motorizard,모토마,摩托蜥,摩托蜥
0968,ミミズズ,Orthworm,Schlurm,Ferdeter,꿈트렁,拖拖蚓,拖拖蚓
0969,キラーメ,Glimmet,Lumispross,Germéclat,초롱순,晶光芽,晶光芽
0970,キラフロル,Glimmora,Lumiflora,Floréclat,킬라플로르,晶光花,晶光花
0971,ボチ,Greavard,Gruff,Toutombe,망망이,墓仔狗,墓仔狗
0972,ハカドッグ,Houndstone,Friedwuff,Tomberro,묘두기,墓扬犬,墓揚犬
0973,カラミンゴ,Flamigo,Flaminkno,Flamenroule,꼬이밍고,缠红鹤,纏紅鶴
0974,アルクジラ,Cetoddle,Flaniwal,Piétacé,터벅고래,走鲸,走鯨
0975,ハルクジラ,Cetitan,Kolowal,Balbalèze,우락고래,浩大鲸,浩大鯨
0976,ミガルーサ,Veluza,Agiluza,Délestin,가비루사,轻身鳕,輕身鱈
0977,ヘイラッシャ,Dondozo,Heerashai,Oyacata,어써러셔,吃吼霸,吃吼霸
0978,シャリタツ,Tatsugiri,Nigiragi,Nigirigon,싸리용,米立龙,米立龍
0979,コノヨザル,Annihilape,Epitaff,Courrousinge,저승갓숭,弃世猴,棄世猴
0980,ドオー,Clodsire,Suelord,Terraiste,토오,土王,土王
0981,リキキリン,Farigiraf,Farigiraf,Farigiraf,키키링,奇麒麟,奇麒麟
0982,ノココッチ,Dudunsparce,Dummimisel,Deusolourdo,노고고치,土龙节节,土龍節節
0983,ドドゲザン,Kingambit,Gladimperio,Scalpereur,대도각참,仆刀将军,仆斬將軍
0984,イダイナキバ,Great Tusk (英語)Grandizanne (イタリア語)Colmilargo (スペイン語),Riesenzahn,Fort-Ivoire,위대한엄니,雄伟牙,雄偉牙
0985,サケブシッポ,Scream Tail (英語)Codaurlante (イタリア語)Colagrito (スペイン語),Brüllschweif,Hurle-Queue,우렁찬꼬리,吼叫尾,吼叫尾
0986,アラブルタケ,Brute Bonnet (英語)Fungofurioso (イタリア語)Furioseta (スペイン語),Wutpilz,Fongus-Furie,사나운버섯,猛恶菇,猛惡菇
0987,ハバタクカミ,Flutter Mane (英語)Crinealato (イタリア語)Melenaleteo (スペイン語),Flatterhaar,Flotte-Mèche,날개치는머리,振翼发,振翼髮
0988,チヲハウハネ,Slither Wing (英語)Alirasenti (イタリア語)Reptalada (スペイン語),Kriechflügel,Rampe-Ailes,땅을기는날개,爬地翅,爬地翅
0989,スナノケガワ,Sandy Shocks (英語)Peldisabbia (イタリア語)Pelarena (スペイン語),Sandfell,Pelage-Sablé,모래털가죽,沙铁皮,沙鐵皮
0990,テツノワダチ,Iron Treads (英語)Solcoferro (イタリア語)Ferrodada (スペイン語),Eisenrad,Roue-de-Fer,무쇠바퀴,铁辙迹,鐵轍跡
0991,テツノツツミ,Iron Bundle (英語)Saccoferreo (イタリア語)Ferrosaco (スペイン語),Eisenbündel,Hotte-de-Fer,무쇠보따리,铁包袱,鐵包袱
0992,テツノカイナ,Iron Hands (英語)Manoferrea (イタリア語)Ferropalmas (スペイン語),Eisenhand,Paume-de-Fer,무쇠손,铁臂膀,鐵臂膀
0993,テツノコウベ,Iron Jugulis (英語)Colloferreo (イタリア語)Ferrocuello (スペイン語),Eisenhals,Têtes-de-Fer,무쇠머리,铁脖颈,鐵脖頸
0994,テツノドクガ,Iron Moth (英語)Falenaferrea (イタリア語)Ferropolilla (スペイン語),Eisenfalter,Mite-de-Fer,무쇠독나방,铁毒蛾,鐵毒蛾
0995,テツノイバラ,Iron Thorns (英語)Spineferree (イタリア語)Ferropúas (スペイン語),Eisendorn,Épine-de-Fer,무쇠가시,铁荆棘,鐵荊棘
0996,セビエ,Frigibax,Frospino,Frigodo,드니차,凉脊龙,涼脊龍
0997,セゴール,Arctibax,Cryospino,Cryodo,드니꽁,冻脊龙,凍脊龍
0998,セグレイブ,Baxcalibur,Espinodon,Glaivodo,드닐레이브,戟脊龙,戟脊龍
0999,コレクレー,Gimmighoul,Gierspenst,Mordudor,모으령,索财灵,索財靈
1000,サーフゴー,Gholdengo,Monetigo,Gromago,타부자고,赛富豪,賽富豪
1001,チオンジェン,Wo-Chien,Chongjian,Chongjian,총지엔,古简蜗,古簡蝸
1002,パオジアン,Chien-Pao,Baojian,Baojian,파오젠,古剑豹,古劍豹
1003,ディンルー,Ting-Lu,Dinglu,Dinglu,딩루,古鼎鹿,古鼎鹿
1004,イーユイ,Chi-Yu,Yuyu,Yuyu,위유이,古玉鱼,古玉魚
1005,トドロクツキ,Roaring Moon (英語)Lunaruggente (イタリア語)Bramaluna (スペイン語),Donnersichel,Rugit-Lune,고동치는달,轰鸣月,轟鳴月
1006,テツノブジン,Iron Valiant (英語)Eroeferreo (イタリア語)Ferropaladín (スペイン語),Eisenkrieger,Garde-de-Fer,무쇠무인,铁武者,鐵武者
1007,コライドン,Koraidon,Koraidon,Koraidon,코라이돈,故勒顿,故勒頓
1008,ミライドン,Miraidon,Miraidon,Miraidon,미라이돈,密勒顿,密勒頓
1009,ウネルミナモ,Walking Wake (英語)Acquecrespe (イタリア語)Ondulagua (スペイン語),Windewoge,Serpente-Eau,굽이치는물결,波荡水,波盪水
1010,テツノイサハ,Iron Leaves (英語)Fogliaferrea (イタリア語)Ferroverdor (スペイン語),Eisenblatt,Vert-de-Fer,무쇠잎새,铁斑叶,鉄斑葉
1011,カミッチュ,Dipplin,Sirapfel,Pomdramour,과미르,裹蜜虫,裹蜜蟲
1012,チャデス,Poltchageist,Mortcha,Poltchageist,차데스,斯魔茶,斯魔茶
1013,ヤバソチャ,Sinistcha,Fatalitcha,Théffroyable,그우린차,来悲粗茶,來悲粗茶
1014,イイネイヌ,Okidogi,Boninu,Félicanis,조타구,够赞狗,夠讚狗
1015,マシマシラ,Munkidori,Benesaru,Fortusimia,이야후,愿增猿,願增猿
1016,キチキギス,Fezandipiti,Beatori,Favianos,기로치,吉雉鸡,吉雉雞
1017,オーガポン,Ogerpon,Ogerpon,Ogerpon,오거폰,厄鬼椪,厄鬼椪
1018,ブリジュラス,Archaludon,Briduradon,Pondralugon,브리두라스,铝钢桥龙,鋁鋼橋龍
1019,カミツオロチ,Hydrapple,Hydrapfel,Pomdorochi,과미드라,蜜集大蛇,蜜集大蛇
1020,ウガツホムラ,Gouging Fire (英語)Vampeaguzze (イタリア語)Flamariete (スペイン語),Keilflamme,Feu-Perçant,꿰뚫는화염,破空焰,破空焰
1021,タケルライコ,Raging Bolt (英語)Furiatonante (イタリア語)Electrofuria (スペイン語),Furienblitz,Ire-Foudre,날뛰는우레,猛雷鼓,猛雷鼓
1022,テツノイワオ,Iron Boulder (英語)Massoferreo (イタリア語)Ferromole (スペイン語),Eisenfels,Roc-de-Fer,무쇠암석,铁磐岩,鐵磐岩
1023,テツノカシラ,Iron Crown (英語)Capoferreo (イタリア語)Ferrotesta (スペイン語),Eisenhaupt,Chef-de-Fer,무쇠감투,铁头壳,鐵頭殼
1024,テラパゴス,Terapagos,Terapagos,Terapagos,테라파고스,太乐巴戈斯,太樂巴戈斯
1025,モモワロウ,Pecharunt,Infamomo,Pêchaminus,복숭악동,桃歹郎,桃歹郎
