番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0449,ヒポポタス,Hippopotas,Hippopotas,Hippopotas,히포포타스,沙河马,沙河馬
0450,カバルドン,Hippowdon,Hippoterus,Hippodocus,하마돈,河马兽,河馬獸
0451,スコルピ,Skorupi,Pionskora,Rapion,스콜피,钳尾蝎,鉗尾蠍
0452,ドラピオン,Drapion,Piondragi,Drascore,드래피온,龙王蝎,龍王蠍
0453,グレッグル,Croagunk,Glibunkel,Cradopaud,삐딱구리,不良蛙,不良蛙
0454,ドクロッグ,Toxicroak,Toxiquak,Coatox,독개굴,毒骷蛙,毒骷蛙
0455,マスキッパ,Carnivine,Venuflibis,Vortente,무스틈니,尖牙笼,尖牙籠
0456,ケイコウオ,Finneon,Finneon,Écayon,형광어,荧光鱼,螢光魚
0457,ネオラント,Lumineon,Lumineon,Luminéon,네오라이트,霓虹鱼,霓虹魚
0458,タマンタ,Mantyke,Mantirps,Babimanta,타만타,小球飞鱼,小球飛魚
0459,ユキカブリ,Snover,Shnebedeck,Blizzi,눈쓰개,雪笠怪,雪笠怪
0460,ユキノオー,Abomasnow,Rexblisar,Blizzaroi,눈설왕,暴雪王,暴雪王
0461,マニューラ,Weavile,Snibunna,Dimoret,포푸니라,玛狃拉,瑪狃拉
0462,ジバコイル,Magnezone,Magnezone,Magnézone,자포코일,自爆磁怪,自爆磁怪
0463,ベロベルト,Lickilicky,Schlurplek,Coudlangue,내룸벨트,大舌舔,大舌舔
0464,ドサイドン,Rhyperior,Rihornior,Rhinastoc,거대코뿌리,超甲狂犀,超甲狂犀
0465,モジャンボ,Tangrowth,Tangoloss,Bouldeneu,덩쿠림보,巨蔓藤,巨蔓藤
0466,エレキブル,Electivire,Elevoltek,Élekable,에레키블,电击魔兽,電擊魔獸
0467,ブーバーン,Magmortar,Magbrant,Maganon,마그마번,鸭嘴炎兽,鴨嘴炎獸
0468,トゲキッス,Togekiss,Togekiss,Togekiss,토게키스,波克基斯,波克基斯
0469,メガヤンマ,Yanmega,Yanmega,Yanmega,메가자리,远古巨蜓,遠古巨蜓
0470,リーフィア,Leafeon,Folipurba,Phyllali,리피아,叶伊布,葉伊布
0471,グレイシア,Glaceon,Glaziola,Givrali,글레이시아,冰伊布,冰伊布
0472,グライオン,Gliscor,Skorgro,Scorvol,글라이온,天蝎王,天蠍王
0473,マンムー,Mamoswine,Mamutel,Mammochon,맘모꾸리,象牙猪,象牙豬
0474,ポリゴンZ,Porygon-Z,Porygon-Z,Porygon-Z,폴리곤Z,多边兽乙型,多邊獸Ｚ
0475,エルレイド,Gallade,Galagladi,Gallame,엘레이드,艾路雷朵,艾路雷朵
0476,ダイノーズ,Probopass,Voluminas,Tarinorme,대코파스,大朝北鼻,大朝北鼻
0477,ヨノワール,Dusknoir,Zwirrfinst,Noctunoir,야느와르몽,黑夜魔灵,黑夜魔靈
0478,ユキメノコ,Froslass,Frosdedje,Momartik,눈여아,雪妖女,雪妖女
0479,ロトム,Rotom,Rotom,Motisma,로토무,洛托姆,洛托姆
0480,ユクシー,Uxie,Selfe,Créhelf,유크시,由克希,由克希
0481,エムリット,Mesprit,Vesprit,Créfollet,엠라이트,艾姆利多,艾姆利多
0482,アグノム,Azelf,Tobutz,Créfadet,아그놈,亚克诺姆,亞克諾姆
0483,ディアルガ,Dialga,Dialga,Dialga,디아루가,帝牙卢卡,帝牙盧卡
0484,パルキア,Palkia,Palkia,Palkia,펄기아,帕路奇亚,帕路奇亞
0485,ヒードラン,Heatran,Heatran,Heatran,히드런,席多蓝恩,席多藍恩
0486,レジギガス,Regigigas,Regigigas,Regigigas,레지기가스,雷吉奇卡斯,雷吉奇卡斯
0487,ギラティナ,Giratina,Giratina,Giratina,기라티나,骑拉帝纳,騎拉帝納
0488,クレセリア,Cresselia,Cresselia,Cresselia,크레세리아,克雷色利亚,克雷色利亞
0489,フィオネ,Phione,Phione,Phione,피오네,霏欧纳,霏歐納
0490,マナフィ,Manaphy,Manaphy,Manaphy,마나피,玛纳霏,瑪納霏
0491,ダークライ,Darkrai,Darkrai,Darkrai,다크라이,达克莱伊,達克萊伊
0492,シェイミ,Shaymin,Shaymin,Shaymin,쉐이미,谢米,謝米
0493,アルセウス,Arceus,Arceus,Arceus,아르세우스,阿尔宙斯,阿爾宙斯
